,precision,recall,f1-score,support
COVID19,1.0,0.8879310344827587,0.9406392694063926,116.0
NORMAL,0.9753521126760564,0.8738170347003155,0.9217970049916805,317.0
PNEUMONIA,0.9445061043285239,0.9953216374269006,0.969248291571754,855.0
accuracy,0.9557453416149069,0.9557453416149069,0.9557453416149069,0.9557453416149069
macro avg,0.9732860723348601,0.9190232355366583,0.9438948553232757,1288.0
weighted avg,0.9570957600304332,0.9557453416149069,0.9549930862790015,1288.0
