,precision,recall,f1-score,support
COVID19,0.98989898989899,0.8448275862068966,0.9116279069767442,116.0
NORMAL,0.8918918918918919,0.9369085173501577,0.9138461538461539,317.0
PNEUMONIA,0.9637850467289719,0.9649122807017544,0.9643483343074225,855.0
accuracy,0.9472049689440993,0.9472049689440993,0.9472049689440993,0.9472049689440993
macro avg,0.9485253095066178,0.9155494614196029,0.9299407983767735,1288.0
weighted avg,0.9484427232230463,0.9472049689440993,0.9471707250088349,1288.0
