,precision,recall,f1-score,support
COVID19,1.0,0.9741379310344828,0.9868995633187773,116.0
NORMAL,0.9653979238754326,0.8801261829652997,0.9207920792079208,317.0
PNEUMONIA,0.95372460496614,0.9883040935672515,0.9707064905226881,855.0
accuracy,0.9604037267080745,0.9604037267080745,0.9604037267080745,0.9604037267080745
macro avg,0.9730408429471908,0.9475227358556779,0.9594660443497954,1288.0
weighted avg,0.9607652788156534,0.9604037267080745,0.9598800371512324,1288.0
