,precision,recall,f1-score,support
COVID19,1.0,0.9137931034482759,0.954954954954955,116.0
NORMAL,0.9214501510574018,0.9621451104100947,0.941358024691358,317.0
PNEUMONIA,0.981198589894242,0.9766081871345029,0.9788980070339977,855.0
accuracy,0.967391304347826,0.967391304347826,0.967391304347826,0.967391304347826
macro avg,0.9675495803172146,0.950848800330958,0.9584036622267703,1288.0
weighted avg,0.9681867175813457,0.967391304347826,0.9675023793602511,1288.0
