,precision,recall,f1-score,support
COVID19,0.9823008849557522,0.9568965517241379,0.9694323144104804,116.0
NORMAL,0.8851963746223565,0.9242902208201893,0.904320987654321,317.0
PNEUMONIA,0.9680094786729858,0.9555555555555556,0.9617422012948793,855.0
accuracy,0.9479813664596274,0.9479813664596274,0.9479813664596274,0.9479813664596274
macro avg,0.9451689127503649,0.9455807760332943,0.9451651677865603,1288.0
weighted avg,0.9489147963319543,0.9479813664596274,0.9483023941499668,1288.0
